Structure 1
1.2 128.703 0.845320123775398
1.15 119.074 1.25476856725457
1.10 110.697 1.8547771439866
1.05 102.734 2.80651899187834
1.00 94.961 4.38869245923094
0.975 91.001 5.60834939100382
0.95 87.320 7.12447112937997
Structure 2
1.2 128.703 0.845320123775398
1.15 119.074 1.25476856725457
1.10 110.697 1.8547771439866
1.05 102.734 2.80651899187834
1.00 94.961 4.38869245923094
0.975 91.001 5.60834939100382
0.95 87.320 7.12447112937997
Structure 3
1.2 243.664 1.03956076456224
1.15 230.399 1.40083935306382
1.10 217.205 1.94537570178343
1.05 204.623 2.74251177161401
1.00 192.936 3.87815181542022
0.975 186.948 4.68135142566737
0.95 180.972 5.69152223081994
Structure 4
1.2 236.371 0.982739024467763
1.15 222.766 1.39647662775218
1.10 210.117 2.00490367099254
1.05 198.507 2.87970256773248
1.00 187.196 4.21685582237629
0.975 181.384 5.18878978062885
0.95 175.842 6.37133130231714
