XP_Gcav results: for solvent=Cyclohexane eta=3 cavity=vdw frad=1.2 tsare=0.075


Structure 1a
     f   p[GPa] V_cav[Ang^3] G_cav-pV[kcal/mol] pV[kcal/mol] G_cav[kcal/mol]
1.2000    0.928    126.795        13.43        16.94        30.37 
1.1500    1.327    126.795        16.26        24.21        40.48 
1.1000    1.915    126.795        20.03        34.95        54.98 
1.0500    2.809    126.795        25.44        51.26        76.71 
1.0000    4.218    126.795        33.96        76.98       110.94 
0.9750    5.272    126.795        40.61        96.21       136.82 
0.9500    6.578    126.795        49.47       120.05       169.52 


Structure 1b
     f   p[GPa] V_cav[Ang^3] G_cav-pV[kcal/mol] pV[kcal/mol] G_cav[kcal/mol]
1.2000    0.928    126.795        13.43        16.94        30.37 
1.1500    1.327    126.795        16.26        24.21        40.48 
1.1000    1.915    126.795        20.03        34.95        54.98 
1.0500    2.809    126.795        25.44        51.26        76.71 
1.0000    4.218    126.795        33.96        76.98       110.94 
0.9750    5.272    126.795        40.61        96.21       136.82 
0.9500    6.578    126.795        49.47       120.05       169.52 


Structure endo-2TS
     f   p[GPa] V_cav[Ang^3] G_cav-pV[kcal/mol] pV[kcal/mol] G_cav[kcal/mol]
1.2000    0.928    233.409        21.77        31.18        52.96 
1.1500    1.327    233.409        26.34        44.57        70.91 
1.1000    1.915    233.409        32.41        64.33        96.74 
1.0500    2.809    233.409        41.11        94.36       135.47 
1.0000    4.218    233.409        54.78       141.71       196.49 
0.9750    5.272    233.409        65.46       177.10       242.56 
0.9500    6.578    233.409        79.66       220.99       300.65 


Structure endo-2
     f   p[GPa] V_cav[Ang^3] G_cav-pV[kcal/mol] pV[kcal/mol] G_cav[kcal/mol]
1.2000    0.928    226.266        21.58        30.23        51.81 
1.1500    1.327    226.266        26.10        43.21        69.31 
1.1000    1.915    226.266        32.09        62.36        94.46 
1.0500    2.809    226.266        40.69        91.47       132.17 
1.0000    4.218    226.266        54.19       137.37       191.56 
0.9750    5.272    226.266        64.73       171.68       236.41 
0.9500    6.578    226.266        78.74       214.22       292.96 
