Structure 1
1.2 127.788 0.86275259459549
1.15 119.071 1.22557561132304
1.10 110.556 1.80665928983011
1.05 102.459 2.72916596742452
1.00 95.230 4.09805695117368
0.975 91.269 5.20516510361024
0.95 87.427 6.64237822205966
Structure 2
1.2 127.788 0.86275259459549
1.15 119.071 1.22557561132304
1.10 110.556 1.80665928983011
1.05 102.459 2.72916596742452
1.00 95.230 4.09805695117368
0.975 91.269 5.20516510361024
0.95 87.427 6.64237822205966
Structure 3
1.2 260.640 0.803011884748398
1.15 245.524 1.16251832349907
1.10 231.495 1.69989141359
1.05 216.500 2.65439572312103
1.00 204.411 3.92048227401682
0.975 198.085 4.86324859612878
0.95 191.604 6.11640929720726
Structure 4
1.2 260.287 0.901930732699737
1.15 245.308 1.26136326503793
1.10 231.219 1.78948631293703
1.05 216.535 2.6713752057892
1.00 203.782 3.90267061849015
0.975 197.601 4.74105531610489
0.95 191.119 5.86093700570839
Structure 5
1.2 259.618 0.0770533034666117
1.15 244.342 0.248774142100508
1.10 230.319 0.630373838924412
1.05 216.148 1.58922852297059
1.00 203.130 3.81637129808183
0.975 198.652 5.20936099896878
0.95 190.775 9.14166546168474
Structure 6
1.2 258.848 0.811952328327628
1.15 243.786 1.18023675950743
1.10 230.120 1.71780432185427
1.05 215.526 2.6647779908542
1.00 202.824 4.03685527196244
0.975 196.782 4.97463948444226
0.95 190.457 6.24133909683599
Structure 7
1.2 258.055 0.89226277014759
1.15 243.901 1.24051766358665
1.10 229.248 1.8100011765046
1.05 216.479 2.59486481789126
1.00 202.445 3.99051180022135
0.975 196.507 4.84223756966432
0.95 189.853 6.06519180114649
Structure 8
1.2 257.820 0.812604095112541
1.15 242.961 1.18192434416527
1.10 228.682 1.76106916272187
1.05 215.860 2.60312906773979
1.00 201.433 4.19804557476756
0.975 196.024 5.07674429697324
0.95 189.460 6.44722862964751
Structure 9
1.2 257.354 0.908172349348291
1.15 242.090 1.27987343671401
1.10 228.164 1.8118159133365
1.05 214.678 2.61979403473192
1.00 201.359 3.89451756998041
0.975 195.554 4.67793927217851
0.95 189.109 5.77855647012096
Structure 10
1.2 256.576 0.830084068438902
1.15 241.371 1.20849012903857
1.10 227.587 1.76227874505511
1.05 213.771 2.66521669005187
1.00 200.452 4.11212277761497
0.975 194.958 4.96904455115612
0.95 189.011 6.14282464990042
Structure 11
1.2 255.990 0.828969955166731
1.15 241.111 1.20918126368856
1.10 227.275 1.78293171026023
1.05 213.498 2.72109543091218
1.00 199.683 4.31626866603678
0.975 194.234 5.2337726897208
0.95 188.616 6.42711194269586
Structure 12
1.2 255.380 0.855131092696092
1.15 240.138 1.23922605502347
1.10 226.477 1.79046009913301
1.05 213.511 2.62039626763396
1.00 199.272 4.13027555441576
0.975 193.728 4.98485250546962
0.95 187.572 6.18872481253337
Structure 13
1.2 255.188 0.824946292489183
1.15 239.966 1.19708267828499
1.10 225.786 1.75988560209987
1.05 212.342 2.62599685603175
1.00 198.977 4.04755939338452
0.975 193.088 4.9543029269909
0.95 187.068 6.13804853394213
Structure 14
1.2 253.954 0.862535402745772
1.15 239.232 1.23527348454341
1.10 225.434 1.79331132610016
1.05 212.297 2.64327045427131
1.00 198.730 4.08649332546322
0.975 192.280 5.09299004824556
0.95 186.706 6.20426069536563
Structure 15
1.2 253.543 0.856548564711975
1.15 238.457 1.2384277963594
1.10 224.801 1.79244819643084
1.05 211.612 2.64779537964044
1.00 198.293 4.06275223615644
0.975 191.927 5.04891150798279
0.95 185.935 6.24369231024693
Structure 16
1.2 253.244 0.941053234037238
1.15 237.713 1.32360126218625
1.10 224.110 1.84470737594165
