structure 1
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)          𝑝(𝑓)     𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)      𝐺𝑐𝑎𝑣(𝑓)      𝐺𝑡𝑜𝑡(𝑓)          Δ𝐺𝑡𝑜𝑡
1    1.20     37.598    1.000000    1.000000    1.002500    0.778100    108.160    -2.34795023    1.534    1.644    0.01099983    0.02517952    -2.32277072     0.00
2    1.15     33.828    0.965392    0.965777    1.002775    0.958900     97.431    -2.34650634    2.243    2.428    0.01479508    0.03573125    -2.31077509     0.00
3    1.10     30.266    0.930244    0.931348    1.003095    1.192236     87.378    -2.34430222    3.455    3.759    0.02155667    0.05397682    -2.29032541     0.00
4    1.05     27.013    0.895645    0.896905    1.003465    1.494711     78.038    -2.34086777    5.499    6.061    0.03594683    0.08821970    -2.25264807     0.00
5    1.00     23.928    0.860163    0.861962    1.003904    1.897169     69.268    -2.33581860    9.183    10.197    0.08023414    0.16816987    -2.16764873     0.00
6    0.97     22.454    0.842125    0.844302    1.004154    2.148076     65.097    -2.33219798    12.072    13.429    0.15357499    0.26938326    -2.06281473     0.00
7    0.95     21.070    0.824454    0.826609    1.004426    2.439121     61.090    -2.32795941    15.909    17.843    0.45220532    0.60607952    -1.72187990     0.00

structure 2
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)          𝑝(𝑓)     𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)      𝐺𝑐𝑎𝑣(𝑓)      𝐺𝑡𝑜𝑡(𝑓)          Δ𝐺𝑡𝑜𝑡
1    1.20     33.790    1.000000    1.000000    1.002500    0.778100    108.160    -2.34710448    1.608    1.644    0.00966284    0.02240637    -2.32469810     0.00
2    1.15     30.484    0.966261    0.965777    1.002775    0.958900     97.431    -2.34573208    2.387    2.428    0.01299678    0.03181250    -2.31391958     0.00
3    1.10     27.397    0.932477    0.931348    1.003095    1.192236     87.378    -2.34375564    3.709    3.759    0.01893652    0.04807309    -2.29568255     0.00
4    1.05     24.489    0.898244    0.896905    1.003465    1.494711     78.038    -2.34030747    6.032    6.061    0.03157760    0.07855617    -2.26175129     0.00
5    1.00     21.775    0.863754    0.861962    1.003904    1.897169     69.268    -2.33549253    10.202    10.197    0.07048192    0.14951135    -2.18598118     0.00
6    0.97     20.482    0.846307    0.844302    1.004154    2.148076     65.097    -2.33201629    13.475    13.429    0.13490842    0.23898739    -2.09302890     0.00
7    0.95     19.203    0.828311    0.826609    1.004426    2.439121     61.090    -2.32746320    18.106    17.843    0.39724114    0.53553065    -1.79193255     0.00

structure 3
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)          𝑝(𝑓)     𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)      𝐺𝑐𝑎𝑣(𝑓)      𝐺𝑡𝑜𝑡(𝑓)          Δ𝐺𝑡𝑜𝑡
1    1.20     28.340    1.000000    1.000000    1.002500    0.778100    108.160    -2.31354105    1.791    1.644    0.00814230    0.01883043    -2.29471062    1476.38
2    1.15     25.521    0.965679    0.965777    1.002775    0.958900     97.431    -2.31224724    2.653    2.428    0.01095162    0.02673254    -2.28551469    1467.86
3    1.10     22.893    0.931324    0.931348    1.003095    1.192236     87.378    -2.31034338    4.114    3.759    0.01595669    0.04039381    -2.26994957    1453.35
4    1.05     20.442    0.896825    0.896905    1.003465    1.494711     78.038    -2.30716229    6.653    6.061    0.02660858    0.06600996    -2.24115233    1426.48
5    1.00     18.150    0.861970    0.861962    1.003904    1.897169     69.268    -2.30270267    11.205    10.197    0.05939095    0.12567370    -2.17702897    1365.84
6    0.97     17.067    0.844473    0.844302    1.004154    2.148076     65.097    -2.29945865    14.739    13.429    0.11367935    0.20097139    -2.09848726    1291.01
7    0.95     16.033    0.827062    0.826609    1.004426    2.439121     61.090    -2.29550516    19.514    17.843    0.33473163    0.45071638    -1.84478878    1047.33

