structure 1
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)            𝑝(𝑓)      𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)        𝐺𝑐𝑎𝑣(𝑓)        𝐺𝑡𝑜𝑡(𝑓)
1    1.20    263.048    1.000000    1.000000    2.016500    0.778100    108.160    -466.82762589    226.682    168.181    0.03758422      10.18489318      -456.64273271
2    1.15    248.221    0.980847    0.979748    2.080847    0.879729    101.721    -466.82446723    316.475    240.533    0.04465413      13.73936731      -453.08509992
3    1.10    234.936    0.963026    0.960329    2.147749    0.992007     95.792    -466.81986633    440.083    345.751    0.05381253      18.68551732      -448.13434902
4    1.05    221.865    0.944825    0.940931    2.220209    1.121216     90.103    -466.81348506    626.579    507.602    0.06661267      25.89820090      -440.91528416
5    1.00    208.908    0.926062    0.921336    2.299730    1.272117     84.591    -466.80542342    915.750    761.842    0.08572871      36.59130359      -430.21411983
6    0.97    203.111    0.917416    0.911280    2.343233    1.358699     81.851    -466.80065652    1095.889    942.772    0.09943275      44.02115228      -422.77950423
7    0.95    196.939    0.908027    0.901507    2.387394    1.449506     79.246    -466.79345155    1336.017    1165.068    0.11665541      52.74527430      -414.04817725

structure 2
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)            𝑝(𝑓)      𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)        𝐺𝑐𝑎𝑣(𝑓)        𝐺𝑡𝑜𝑡(𝑓)
1    1.20    291.588    1.000000    1.000000    2.016500    0.778100    108.160    -466.78791160    165.395    168.181    0.03980000      11.28806467      -455.49984693
2    1.15    273.605    0.979005    0.979748    2.080847    0.879729    101.721    -466.78476557    240.849    240.533    0.04734880      15.14253414      -451.64223143
3    1.10    257.610    0.959543    0.960329    2.147749    0.992007     95.792    -466.78012332    348.823    345.751    0.05714102      20.48701754      -446.29310577
4    1.05    241.893    0.939618    0.940931    2.220209    1.121216     90.103    -466.77547123    519.286    507.602    0.07084660      28.23428099      -438.54119024
5    1.00    226.641    0.919439    0.921336    2.299730    1.272117     84.591    -466.76870969    790.079    761.842    0.09134595      39.69566937      -427.07304032
6    0.97    218.620    0.908462    0.911280    2.343233    1.358699     81.851    -466.76299005    999.057    942.772    0.10605870      47.38152051      -419.38146954
7    0.95    211.622    0.898663    0.901507    2.387394    1.449506     79.246    -466.75565490    1236.263    1165.068    0.12456430      56.67696676      -410.07868815

structure 3
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)            𝑝(𝑓)      𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)        𝐺𝑐𝑎𝑣(𝑓)        𝐺𝑡𝑜𝑡(𝑓)
1    1.20    294.616    1.000000    1.000000    2.016500    0.778100    108.160    -466.86634558    112.466    168.181    0.03997133      11.40504377      -455.46130181
2    1.15    276.775    0.979393    0.979748    2.080847    0.879729    101.721    -466.86491295    164.276    240.533    0.04757375      15.31765259      -451.54726036
3    1.10    259.371    0.958418    0.960329    2.147749    0.992007     95.792    -466.86287033    248.349    345.751    0.05744005      20.62697346      -446.23589687
4    1.05    243.417    0.938350    0.940931    2.220209    1.121216     90.103    -466.85848983    376.941    507.602    0.07125591      28.41212856      -438.44636127
5    1.00    228.299    0.918507    0.921336    2.299730    1.272117     84.591    -466.85188711    579.698    761.842    0.09193067      39.98598088      -426.86590624
6    0.97    220.527    0.907964    0.911280    2.343233    1.358699     81.851    -466.84879097    733.372    942.772    0.10677503      47.79461588      -419.05417509
7    0.95    213.226    0.897831    0.901507    2.387394    1.449506     79.246    -466.84447598    922.923    1165.068    0.12545129      57.10649563      -409.73798035

